Date,Price
2008-05-23,6.944688
2008-05-26,7.03093
2008-05-27,7.056294
2008-05-28,7.046143
2008-05-29,7.061365
2008-05-30,7.086728
2008-06-02,7.086728
2008-06-03,7.081656
2008-06-04,7.086728
2008-06-05,7.157745
2008-06-06,7.127311
2008-06-09,7.122234
2008-06-10,7.076583
2008-06-11,7.015708
2008-06-12,7.046143
2008-06-13,7.107018
2008-06-16,7.208473
2008-06-17,7.223693
2008-06-18,7.081656
2008-06-19,7.061365
2008-06-20,7.010635
2008-06-23,6.888886
2008-06-24,6.914249
2008-06-25,6.888982
2008-06-26,6.775548
2008-06-27,6.656944
2008-06-30,6.71367
2008-07-02,6.744604
2008-07-03,6.636322
2008-07-04,6.662103
2008-07-07,6.579604
2008-07-08,6.574441
2008-07-09,6.595065
2008-07-10,6.579604
2008-07-11,6.533189
2008-07-14,6.430062
2008-07-15,6.352714
2008-07-16,6.450687
2008-07-17,6.435219
2008-07-18,6.52288
2008-07-21,6.574441
2008-07-22,6.687886
2008-07-23,6.71367
2008-07-24,6.558976
2008-07-25,6.595065
2008-07-28,6.56413
2008-07-29,6.574441
2008-07-30,6.662103
2008-07-31,6.615695
2008-08-01,6.636322
2008-08-05,6.698197
2008-08-06,6.71367
2008-08-07,6.677573
2008-08-08,6.703355
2008-08-11,6.718822
2008-08-12,6.667258
2008-08-13,6.667258
2008-08-14,6.723982
2008-08-15,6.744604
2008-08-18,6.765234
2008-08-19,6.703355
2008-08-20,6.718822
2008-08-21,6.749762
2008-08-22,6.816795
2008-08-25,6.791016
2008-08-26,6.801328
2008-08-27,6.868357
2008-08-28,6.966331
2008-08-29,6.935392
2008-09-02,6.888982
2008-09-03,6.888982
2008-09-04,6.821953
2008-09-05,6.734288
2008-09-08,6.770386
2008-09-09,6.70851
2008-09-10,6.729138
2008-09-11,6.641474
2008-09-12,6.677573
2008-09-15,6.626008
2008-09-16,6.507412
2008-09-17,6.347564
2008-09-18,6.419749
2008-09-19,6.569288
2008-09-22,6.476471
2008-09-23,6.445532
2008-09-24,6.476471
2008-09-25,6.443887
2008-09-26,6.380811
2008-09-29,6.13378
2008-09-30,6.333508
2008-10-01,6.296714
2008-10-02,6.123265
2008-10-03,6.081216
2008-10-06,5.566129
2008-10-07,5.240252
2008-10-08,5.066807
2008-10-09,4.83554
2008-10-10,4.99322
2008-10-14,5.203462
2008-10-15,4.861821
2008-10-16,4.945918
2008-10-17,5.008989
2008-10-20,5.166669
2008-10-21,5.177185
2008-10-22,4.935406
2008-10-23,4.77247
2008-10-24,4.709397
2008-10-27,4.472875
2008-10-28,4.620044
2008-10-29,4.761955
2008-10-30,4.846053
2008-10-31,4.898612
2008-11-03,4.982709
2008-11-04,5.103597
2008-11-05,4.919639
2008-11-06,4.688372
2008-11-07,4.73042
2008-11-10,4.646327
2008-11-11,4.483387
2008-11-12,4.330963
2008-11-13,4.304681
2008-11-14,4.236353
2008-11-17,4.157516
2008-11-18,4.17854
2008-11-19,3.910478
2008-11-20,3.637167
2008-11-21,3.637167
2008-11-24,3.821129
2008-11-25,3.920993
2008-11-26,4.010345
2008-11-27,4.125978
2008-11-28,4.457104
2008-12-01,4.125978
2008-12-02,4.104953
2008-12-03,4.020855
2008-12-04,3.926248
2008-12-05,3.868433
2008-12-08,4.036625
2008-12-09,4.010345
2008-12-10,4.015602
2008-12-11,3.899968
2008-12-12,3.999832
2008-12-15,4.047136
2008-12-16,4.104953
2008-12-17,4.099697
2008-12-18,4.020855
2008-12-19,4.120723
2008-12-22,4.078673
2008-12-23,4.120723
2008-12-24,4.240394
2008-12-29,4.27318
2008-12-30,4.437113
2008-12-31,4.469899
2009-01-02,4.573723
2009-01-05,4.732188
2009-01-06,4.830551
2009-01-07,4.715798
2009-01-08,4.590115
2009-01-09,4.584654
2009-01-12,4.50815
2009-01-13,4.491757
2009-01-14,4.360611
2009-01-15,4.327824
2009-01-16,4.442573
2009-01-19,4.437113
2009-01-20,4.316895
2009-01-21,4.245855
2009-01-22,4.229463
2009-01-23,4.316895
2009-01-26,4.377004
2009-01-27,4.448039
2009-01-28,4.535472
2009-01-29,4.409788
2009-01-30,4.448039
2009-02-02,4.420717
2009-02-03,4.426183
2009-02-04,4.442573
2009-02-05,4.371538
2009-02-06,4.437113
2009-02-09,4.497219
2009-02-10,4.338753
2009-02-11,4.32236
2009-02-12,4.251322
2009-02-13,4.251322
2009-02-17,4.103784
2009-02-18,4.016351
2009-02-19,4.010886
2009-02-20,3.961707
2009-02-23,3.84149
2009-02-24,3.912527
2009-02-25,3.994493
2009-02-26,4.02728
2009-02-27,4.125638
2009-03-02,3.961707
2009-03-03,3.825097
2009-03-04,3.945316
2009-03-05,3.825097
2009-03-06,3.737666
2009-03-09,3.69395
2009-03-10,3.786846
2009-03-11,3.808702
2009-03-12,3.92892
2009-03-13,3.93985
2009-03-16,3.972636
2009-03-17,3.917992
2009-03-18,3.956244
2009-03-19,3.945316
2009-03-20,3.868812
2009-03-23,3.885206
2009-03-24,3.92892
2009-03-25,3.989027
2009-03-26,3.997333
2009-03-27,3.991797
2009-03-30,3.853385
2009-03-31,4.025015
2009-04-01,4.008408
2009-04-02,4.102528
2009-04-03,4.180039
2009-04-06,4.235402
2009-04-07,4.185575
2009-04-08,4.191112
2009-04-09,4.191112
2009-04-13,4.235402
2009-04-14,4.22433
2009-04-15,4.263085
2009-04-16,4.323984
2009-04-17,4.357203
2009-04-20,4.235402
2009-04-21,4.252011
2009-04-22,4.296304
2009-04-23,4.351666
2009-04-24,4.484544
2009-04-27,4.473471
2009-04-28,4.456861
2009-04-29,4.49008
2009-04-30,4.41257
2009-05-01,4.423644
2009-05-04,4.479007
2009-05-05,4.50669
2009-05-06,4.595273
2009-05-07,4.639564
2009-05-08,4.777977
2009-05-11,4.844414
2009-05-12,4.772439
2009-05-13,4.589736
2009-05-14,4.733683
2009-05-15,4.861022
2009-05-19,4.833342
2009-05-20,4.833342
2009-05-21,4.789051
2009-05-22,4.827806
2009-05-25,4.872098
2009-05-26,4.971751
2009-05-27,4.960682
2009-05-28,5.0548
2009-05-29,5.043728
2009-06-01,5.165527
2009-06-02,5.154459
2009-06-03,5.07141
2009-06-04,5.110166
2009-06-05,5.093556
2009-06-08,5.093556
2009-06-09,5.137846
2009-06-10,5.143382
2009-06-11,5.165527
2009-06-12,5.243042
2009-06-15,5.171069
2009-06-16,5.137846
2009-06-17,5.082479
2009-06-18,5.132309
2009-06-19,5.093556
2009-06-22,5.016045
2009-06-23,4.982826
2009-06-24,5.016045
2009-06-25,5.048945
2009-06-26,5.151062
2009-06-29,5.179428
2009-06-30,5.236157
2009-07-02,5.168082
2009-07-03,5.185098
2009-07-06,5.162408
2009-07-07,5.060294
2009-07-08,5.003564
2009-07-09,5.003564
2009-07-10,4.992218
2009-07-13,5.094329
2009-07-14,5.134043
2009-07-15,5.179428
2009-07-16,5.219137
2009-07-17,5.185098
2009-07-20,5.241828
2009-07-21,5.247504
2009-07-22,5.247504
2009-07-23,5.275868
2009-07-24,5.321251
2009-07-27,5.321251
2009-07-28,5.270192
2009-07-29,5.321251
2009-07-30,5.389325
2009-07-31,5.457399
2009-08-04,5.525476
2009-08-05,5.610573
2009-08-06,5.650283
2009-08-07,5.74105
2009-08-10,5.746724
2009-08-11,5.616245
